"scenario","scenarioname","R2020","R2100","A2020marsh","A2020mangrove","year","k","rSLR","A2100marsh","A2100mangrove","Amarsh","Amangrove","Atotal","SL","marshgain","mangrovegain","marshelev","mangroveelev","Ngainmarsh","Ngainmangrove","Ngaintotal","Nlossmarsh","Nlossmangrove","Nlosstotal","netNmarsh","netNmangrove","netNtotal"
2,"Area loss/high slr",3.5,8,52880,147349,2087,0.0103334821648058,6.99437513252386,32257,2937,32939.3321323102,7715.01231106956,40654.3444433798,343.410661514396,6.99437513252386,6.99437513252386,343.410661514396,343.410661514396,20.4742092856923,4.74245729159162,25.2166665772839,-18.0463044202592,-124.972418981593,-143.018723401852,2.42790486543304,-120.229961690001,-117.802056824568
2,"Area loss/high slr",3.5,8,52880,147349,2088,0.0103334821648058,7.06702610549992,32257,2937,32861.5061347852,7170.03786726488,40031.5440020501,350.477687619895,7.06702610549992,7.06702610549992,350.477687619895,350.477687619895,20.846176674106,4.49815954244029,25.3443362165463,-18.1167369480194,-125.460171108798,-143.576908056817,2.72943972608664,-120.962011566358,-118.232571840271
2,"Area loss/high slr",3.5,8,52880,147349,2089,0.0103334821648058,7.14043170827125,32257,2937,32792.3185774902,6685.55386764824,39477.8724451384,357.618119328167,7.14043170827125,7.14043170827125,357.618119328167,357.618119328167,21.2261004095468,4.27966660945977,25.5057670190065,-18.1793516873714,-125.893784288455,-144.073135975826,3.04674872217537,-121.614117678995,-118.56736895682
2,"Area loss/high slr",3.5,8,52880,147349,2090,0.0103334821648058,7.21459977922054,32257,2937,32730.8622996545,6255.20794344661,38986.0702431011,364.832719107387,7.21459977922054,7.21459977922054,364.832719107387,364.832719107387,21.6137339796375,4.08496709543566,25.6987010750731,-18.2349696188127,-126.278943890615,-144.513913509428,3.37876436082474,-122.19397679518,-118.815212434355
2,"Area loss/high slr",3.5,8,52880,147349,2091,0.0103334821648058,7.2895382381482,32257,2937,32676.3141229857,5873.23581092004,38549.5499339057,372.122257345535,7.2895382381482,7.2895382381482,372.122257345535,372.122257345535,22.0088466294508,3.91215556450914,25.9210021939599,-18.284335718698,-126.620808949227,-144.905144667925,3.72451091075278,-122.708653384717,-118.984142473965
2,"Area loss/high slr",3.5,8,52880,147349,2092,0.0103334821648058,7.36525508711802,32257,2937,32627.9296080482,5534.42455304557,38162.3541610938,379.487512432653,7.36525508711802,7.36525508711802,379.487512432653,379.487512432653,22.4112242354425,3.75943856142282,26.1706627968654,-18.3281237047164,-126.924045025024,-145.252168729741,4.08310053072618,-123.164606463601,-119.081505932875
2,"Area loss/high slr",3.5,8,52880,147349,2093,0.0103334821648058,7.44175841131174,32257,2937,32585.0375162728,5234.07383988658,37819.1113561593,386.929270843965,7.44175841131174,7.44175841131174,386.929270843965,386.929270843965,22.8206696999363,3.62513731019531,26.4458070101317,-18.3669410477732,-127.192858913302,-145.559799961075,4.45372865216319,-123.567721603106,-119.113992950943
2,"Area loss/high slr",3.5,8,52880,147349,2094,0.0103334821648058,7.51905637989232,32257,2937,32547.0341805129,4967.95650856919,37514.990689082,394.448327223858,7.51905637989232,7.51905637989232,394.448327223858,394.448327223858,23.2370029713678,3.50768782080152,26.7446907921694,-18.4013340666359,-127.431033924831,-145.832367991466,4.83566890473197,-123.923346104029,-119.087677199297
2,"Area loss/high slr",3.5,8,52880,147349,2095,0.0103334821648058,7.59715724687625,32257,2937,32513.3779355453,4732.27956301029,37245.6574985555,402.045484470734,7.59715724687625,7.59715724687625,402.045484470734,402.045484470734,23.6600607788162,3.40563901691495,27.0656997957312,-18.4317929683315,-127.641964791106,-146.073757759437,5.22826781048467,-124.236325774191,-119.008057963706
2,"Area loss/high slr",3.5,8,52880,147349,2096,0.0103334821648058,7.67606935201501,32257,2937,32483.5837178707,4523.64635916922,37007.2300770399,409.721553822749,7.67606935201501,7.67606935201501,409.721553822749,409.721553822749,24.0896961542574,3.31764939324994,27.4073455475073,-18.458756735327,-127.828691508544,-146.287448243871,5.63093941893038,-124.511042115294,-118.880102696363
2,"Area loss/high slr",3.5,8,52880,147349,2097,0.0103334821648058,7.75580112168553,32257,2937,32457.2179104774,4339.02050564263,36796.2384161201,417.477354944434,7.75580112168553,7.75580112168553,417.477354944434,417.477354944434,24.5257778026394,3.24248261870418,27.7682604213436,-18.4826177910179,-127.99393164745,-146.476549438468,6.04316001162153,-124.751449028746,-118.708289017124
2,"Area loss/high slr",3.5,8,52880,147349,2098,0.0103334821648058,7.83636106978999,32257,2937,32433.893481687,4175.69182356496,36609.5853052519,425.313716014224,7.83636106978999,7.83636106978999,425.313716014224,425.313716014224,24.9681893683255,3.17900242147502,28.1471917898005,-18.5037263990733,-128.140110817909,-146.643837216983,6.46446296925224,-124.961108396434,-118.496645427182
2,"Area loss/high slr",3.5,8,52880,147349,2099,0.0103334821648058,7.91775779866497,32257,2937,32413.2654466671,4031.24456597431,36444.5100126414,433.231473812889,7.91775779866497,7.91775779866497,433.231473812889,433.231473812889,25.4168286365918,3.12616702406488,28.5429956606567,-18.5223947707663,-128.269391113453,-146.791785884219,6.89443386582557,-125.143224089388,-118.248790223563
2,"Area loss/high slr",3.5,8,52880,147349,2100,0.0103334821648058,8,32257,2937,32395.0266646115,3903.52798767781,36298.5546522893,441.231473812889,8,8,441.231473812889,441.231473812889,25.8716067005762,3.08302333866056,28.9546300392368,-18.5389008685266,-128.383697451028,-146.922598319555,7.33270583204967,-125.300674112368,-117.967968280318
3,"Area stable/low slr",3.5,4,52880,147349,2020,0.00166914240780653,3.5,51312,142928,52869.5056097507,147319.410906064,200188.916515814,3.5,3.5,3.5,3.5,3.5,0.334928318037771,0.922956109326489,1.25788442736426,-0.00949742317559969,-0.0264822390729509,-0.0359796622485506,0.325430894862171,0.896473870253539,1.22190476511571
3,"Area stable/low slr",3.5,4,52880,147349,2021,0.00166914240780653,3.50584687670479,51312,142928,52868.118885692,147315.501016355,200183.619902047,7.00584687670479,3.50584687670479,3.50584687670479,7.00584687670479,7.00584687670479,0.670398561486374,1.84740501840728,2.51780357989365,-0.0107524084487484,-0.0299815903624544,-0.0407339988112028,0.659646153037626,1.81742342804482,2.47706958108245
3,"Area stable/low slr",3.5,4,52880,147349,2022,0.00166914240780653,3.51170352082877,51312,142928,52866.5505028713,147311.078936986,200177.629439857,10.5175503975336,3.51170352082877,3.51170352082877,10.5175503975336,10.5175503975336,1.00640816275644,2.77333953733428,3.77974770009072,-0.0121717949014722,-0.0339393513975435,-0.0461111462990157,0.994236367854968,2.73940018593674,3.73363655379171
3,"Area stable/low slr",3.5,4,52880,147349,2023,0.00166914240780653,3.51756994868879,51312,142928,52864.777108877,147306.078825475,200170.855934352,14.0351203462223,3.51756994868879,3.51756994868879,14.0351203462223,14.0351203462223,1.34295395092675,3.70075079384174,5.04370474476849,-0.0137767164662734,-0.0384144511995034,-0.0521911676657768,1.32917723446048,3.66233634264223,4.99151357710271
3,"Area stable/low slr",3.5,4,52880,147349,2024,0.00166914240780653,3.52344617662891,51312,142928,52862.7724739552,147300.42672663,200163.199200585,17.5585665228513,3.52344617662891,3.52344617662891,17.5585665228513,17.5585665228513,1.68003205778999,4.6296279713278,6.3096600291178,-0.0155909110705181,-0.0434730796660057,-0.0590639907365237,1.66444114671947,4.5861548916618,6.25059603838127
3,"Area stable/low slr",3.5,4,52880,147349,2025,0.00166914240780653,3.52933222102054,51312,142928,52860.5071714622,147294.039671578,200154.54684304,21.0878987438718,3.52933222102054,3.52933222102054,21.0878987438718,21.0878987438718,2.01763781123452,5.55995801156443,7.57759582279896,-0.0176410098267066,-0.0491894939376308,-0.0668305037643373,1.99999680140782,5.5107685176268,7.51076531903462
3,"Area stable/low slr",3.5,4,52880,147349,2026,0.00166914240780653,3.53522809826241,51312,142928,52857.9482327962,147286.824704842,200144.772937638,24.6231268421342,3.53522809826241,3.53522809826241,24.6231268421342,24.6231268421342,2.3557656147515,6.49172527871969,8.84749089347119,-0.0199568493194493,-0.0556468891665909,-0.0756037384860401,2.33580876543205,6.4360783895531,8.77188715498514
3,"Area stable/low slr",3.5,4,52880,147349,2027,0.00166914240780653,3.54113382478065,51312,142928,52855.0587777959,147278.677842242,200133.736620038,28.1642606669149,3.54113382478065,3.54113382478065,28.1642606669149,28.1642606669149,2.69440881189914,7.4249111814352,10.1193199933343,-0.0225718060947361,-0.0629383311933553,-0.0855101372880914,2.6718370058044,7.36197285024184,10.0338098560462
3,"Area stable/low slr",3.5,4,52880,147349,2028,0.00166914240780653,3.54704941702883,51312,142928,52851.7976227794,147269.482965758,200121.280588537,31.7113100839437,3.54704941702883,3.54704941702883,31.7113100839437,31.7113100839437,3.03355953466673,8.35949375001027,11.393053284677,-0.0255231513846046,-0.0711677456469438,-0.0966908970315484,3.00803638328213,8.28832600436333,11.2963623876455
