"SL","Amarsh","Amangrove","Atotal","Ngainmarsh","Ngainmangrove","Ngaintotal","Nlossmarsh","Nlossmangrove","Nlosstotal","netNmarsh","netNmangrove","netNtotal"
295,32000,89167.32223904,121167.32223904,16.8032,42.8761068986424,59.6793068986424,-18.5832,-47.4180673751824,-66.0012673751824,-1.78,-4.54196047654,-6.32196047654001
300,32000,89167.32223904,121167.32223904,17.088,43.6028205748906,60.6908205748906,-18.5832,-47.4180673751824,-66.0012673751824,-1.4952,-3.81524680029182,-5.31044680029182
305,32000,89167.32223904,121167.32223904,17.3728,44.3295342511387,61.7023342511387,-18.5832,-47.4180673751824,-66.0012673751824,-1.2104,-3.08853312404365,-4.29893312404365
310,32000,89167.32223904,121167.32223904,17.6576,45.0562479273869,62.7138479273869,-18.5832,-47.4180673751824,-66.0012673751824,-0.925599999999999,-2.36181944779548,-3.28741944779548
315,32000,89167.32223904,121167.32223904,17.9424,45.7829616036351,63.7253616036351,-18.5832,-47.4180673751824,-66.0012673751824,-0.640800000000002,-1.6351057715473,-2.2759057715473
320,32000,89167.32223904,121167.32223904,18.2272,46.5096752798833,64.7368752798833,-18.5832,-47.4180673751824,-66.0012673751824,-0.356000000000002,-0.908392095299121,-1.26439209529912
325,32000,89167.32223904,121167.32223904,18.512,47.2363889561314,65.7483889561314,-18.5832,-47.4180673751824,-66.0012673751824,-0.071200000000001,-0.181678419050954,-0.252878419050955
330,32000,89167.32223904,121167.32223904,18.7968,47.9631026323796,66.7599026323796,-18.5832,-47.4180673751824,-66.0012673751824,0.2136,0.545035257197227,0.758635257197227
335,32000,89167.32223904,121167.32223904,19.0816,48.6898163086278,67.7714163086278,-18.5832,-47.4180673751824,-66.0012673751824,0.4984,1.27174893344541,1.77014893344541
340,32000,89167.32223904,121167.32223904,19.3664,49.416529984876,68.782929984876,-18.5832,-47.4180673751824,-66.0012673751824,0.783199999999997,1.99846260969358,2.78166260969358
345,32000,89167.32223904,121167.32223904,19.6512,50.1432436611241,69.7944436611241,-18.5832,-47.4180673751824,-66.0012673751824,1.068,2.72517628594175,3.79317628594175
350,32000,89167.32223904,121167.32223904,19.936,50.8699573373723,70.8059573373723,-18.5832,-47.4180673751824,-66.0012673751824,1.3528,3.45188996218992,4.80468996218992
