"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3"
"87","Trettin et al. 2020","Ruffiji",15,"Deltaic mangrove",2015,-7.790868,39.369734,0.3,0.45,2.37,0.13,0.75
"88","Trettin et al. 2020","Ruffiji",15,"Deltaic mangrove",2015,-7.790868,39.369734,0.45,1.1,3.01,0.13,0.93
"89","Trettin et al. 2020","Ruffiji",15,"Deltaic mangrove",2015,-7.790868,39.369734,1.1,1.85,2.85,0.11,0.71
"90","Trettin et al. 2020","Ruffiji",15,"Deltaic mangrove",2015,-7.790868,39.369734,1.85,2,3.16,0.12,0.82
"91","Trettin et al. 2020","Ruffiji",16,"Deltaic mangrove",2015,-7.799883,39.300607,0,0.15,2.71,0.12,0.81
"92","Trettin et al. 2020","Ruffiji",16,"Deltaic mangrove",2015,-7.799883,39.300607,0.15,0.3,2.02,0.16,0.85
"93","Trettin et al. 2020","Ruffiji",16,"Deltaic mangrove",2015,-7.799883,39.300607,0.3,0.45,1.57,0.14,0.75
"94","Trettin et al. 2020","Ruffiji",16,"Deltaic mangrove",2015,-7.799883,39.300607,0.45,1.1,1.45,0.13,0.75
"95","Trettin et al. 2020","Ruffiji",16,"Deltaic mangrove",2015,-7.799883,39.300607,1.1,1.85,1.58,0.11,1
"96","Trettin et al. 2020","Ruffiji",16,"Deltaic mangrove",2015,-7.799883,39.300607,1.85,2,2.55,0.12,1.08
"97","Trettin et al. 2020","Ruffiji",17,"Deltaic mangrove",2015,-7.801661,39.295053,0,0.15,1.72,0.1,0.64
"98","Trettin et al. 2020","Ruffiji",17,"Deltaic mangrove",2015,-7.801661,39.295053,0.15,0.3,2.22,0.18,0.68
"99","Trettin et al. 2020","Ruffiji",17,"Deltaic mangrove",2015,-7.801661,39.295053,0.3,0.45,2.05,0.16,0.7
"100","Trettin et al. 2020","Ruffiji",17,"Deltaic mangrove",2015,-7.801661,39.295053,0.45,1.1,2.13,0.16,0.65
"101","Trettin et al. 2020","Ruffiji",17,"Deltaic mangrove",2015,-7.801661,39.295053,1.1,1.85,2.54,0.15,0.66
"102","Trettin et al. 2020","Ruffiji",17,"Deltaic mangrove",2015,-7.801661,39.295053,1.85,2,3.57,0.18,0.69
"103","Trettin et al. 2020","Ruffiji",18,"Deltaic mangrove",2015,-7.807884,39.31884,0,0.15,2.93,0.15,1.3
"104","Trettin et al. 2020","Ruffiji",18,"Deltaic mangrove",2015,-7.807884,39.31884,0.15,0.3,1.56,0.09,1.28
"105","Trettin et al. 2020","Ruffiji",18,"Deltaic mangrove",2015,-7.807884,39.31884,0.3,0.45,0.86,0.05,1.36
"106","Trettin et al. 2020","Ruffiji",18,"Deltaic mangrove",2015,-7.807884,39.31884,0.45,1.1,0.68,0.05,1.48
"107","Trettin et al. 2020","Ruffiji",18,"Deltaic mangrove",2015,-7.807884,39.31884,1.1,1.85,0.84,0.05,NA
"108","Trettin et al. 2020","Ruffiji",18,"Deltaic mangrove",2015,-7.807884,39.31884,1.85,2,0.94,0.04,NA
"109","Trettin et al. 2020","Ruffiji",19,"Deltaic mangrove",2015,-7.770334,39.318936,0,0.15,2.66,0.16,0.66
"110","Trettin et al. 2020","Ruffiji",19,"Deltaic mangrove",2015,-7.770334,39.318936,0.15,0.3,2.27,0.14,0.65
"111","Trettin et al. 2020","Ruffiji",19,"Deltaic mangrove",2015,-7.770334,39.318936,0.3,0.45,2.08,0.12,0.75
"112","Trettin et al. 2020","Ruffiji",19,"Deltaic mangrove",2015,-7.770334,39.318936,0.45,1.1,3.37,0.15,0.66
"113","Trettin et al. 2020","Ruffiji",19,"Deltaic mangrove",2015,-7.770334,39.318936,1.1,1.85,3.78,0.12,0.57
"114","Trettin et al. 2020","Ruffiji",19,"Deltaic mangrove",2015,-7.770334,39.318936,1.85,2,2,0.07,1
"115","Trettin et al. 2020","Ruffiji",20,"Deltaic mangrove",2015,-7.813454,39.334681,0,0.15,3.6,0.18,0.67
"116","Trettin et al. 2020","Ruffiji",20,"Deltaic mangrove",2015,-7.813454,39.334681,0.15,0.3,3.5,0.13,0.77
"117","Trettin et al. 2020","Ruffiji",20,"Deltaic mangrove",2015,-7.813454,39.334681,0.3,0.45,2.97,0.1,0.95
"118","Trettin et al. 2020","Ruffiji",20,"Deltaic mangrove",2015,-7.813454,39.334681,0.45,1.1,2.54,0.09,0.99
"119","Trettin et al. 2020","Ruffiji",20,"Deltaic mangrove",2015,-7.813454,39.334681,1.1,1.85,1.33,0.07,1.08
"120","Trettin et al. 2020","Ruffiji",20,"Deltaic mangrove",2015,-7.813454,39.334681,1.85,2,1.04,0.06,1.02
"121","Trettin et al. 2020","Ruffiji",21,"Deltaic mangrove",2015,-7.828303,39.322083,0,0.15,2.64,0.16,0.75
"122","Trettin et al. 2020","Ruffiji",21,"Deltaic mangrove",2015,-7.828303,39.322083,0.15,0.3,3.17,0.14,0.73
"123","Trettin et al. 2020","Ruffiji",21,"Deltaic mangrove",2015,-7.828303,39.322083,0.3,0.45,3.98,0.16,0.73
"124","Trettin et al. 2020","Ruffiji",21,"Deltaic mangrove",2015,-7.828303,39.322083,0.45,1.1,2.39,0.11,0.84
"125","Trettin et al. 2020","Ruffiji",21,"Deltaic mangrove",2015,-7.828303,39.322083,1.1,1.85,1.75,0.09,1.01
"126","Trettin et al. 2020","Ruffiji",21,"Deltaic mangrove",2015,-7.828303,39.322083,1.85,2,1.49,0.08,0.98
"127","Trettin et al. 2020","Ruffiji",22,"Deltaic mangrove",2015,-7.83765,39.270828,0,0.15,2.63,0.18,0.78
"128","Trettin et al. 2020","Ruffiji",22,"Deltaic mangrove",2015,-7.83765,39.270828,0.15,0.3,2.94,0.14,0.92
"129","Trettin et al. 2020","Ruffiji",22,"Deltaic mangrove",2015,-7.83765,39.270828,0.3,0.45,4.08,0.13,0.92
