"alpha.3","area_tidal_marsh_km2","area_mangrove_km2","area_total_km2","car_marsh","car_mangrove","car_total_ggy","name","alpha.2","country.code","iso_3166.2","region","supercontinent","continent","sub.region","intermediate.region","region.code","sub.region.code","intermediate.region.code","category","value","habitat"
"THA",0,2499.15,2499.15,0,1116.75,1116.41,"Thailand","TH",764,"ISO 3166-2:TH","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_marsh",0,"Marsh"
"THA",0,2499.15,2499.15,0,1116.75,1116.41,"Thailand","TH",764,"ISO 3166-2:TH","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_mangrove",52.20897616,"Mangrove"
"TLS",0,10.18,10.18,0,2.91,2.91,"Timor-Leste","TL",626,"ISO 3166-2:TL","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_marsh",0,"Marsh"
"TLS",0,10.18,10.18,0,2.91,2.91,"Timor-Leste","TL",626,"ISO 3166-2:TL","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_mangrove",0.136044881,"Mangrove"
"TON",0,7.83,7.83,0,0.93,0.93,"Tonga","TO",776,"ISO 3166-2:TO","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_marsh",0,"Marsh"
"TON",0,7.83,7.83,0,0.93,0.93,"Tonga","TO",776,"ISO 3166-2:TO","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_mangrove",0.043478261,"Mangrove"
"TTO",0,63.76,63.76,0,15.25,15.25,"Trinidad and Tobago","TT",780,"ISO 3166-2:TT","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"TTO",0,63.76,63.76,0,15.25,15.25,"Trinidad and Tobago","TT",780,"ISO 3166-2:TT","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.712949977,"Mangrove"
"TUR",256.3,0,256.3,34.17,0,34.17,"Turkey","TR",792,"ISO 3166-2:TR","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_marsh",2.287149,"Marsh"
"TUR",256.3,0,256.3,34.17,0,34.17,"Turkey","TR",792,"ISO 3166-2:TR","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_mangrove",0,"Mangrove"
"TUV",0,0.08,0.08,0,0,0,"Tuvalu","TV",798,"ISO 3166-2:TV","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_marsh",0,"Marsh"
"TUV",0,0.08,0.08,0,0,0,"Tuvalu","TV",798,"ISO 3166-2:TV","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_mangrove",0,"Mangrove"
"TWN",46.26,1.65,47.91,16.15,0.6,16.75,"Taiwan, Province of China","TW",158,"ISO 3166-2:TW","Asia","Asia","Asia","Eastern Asia","",142,30,NA,"nar_marsh",1.080991,"Marsh"
"TWN",46.26,1.65,47.91,16.15,0.6,16.75,"Taiwan, Province of China","TW",158,"ISO 3166-2:TW","Asia","Asia","Asia","Eastern Asia","",142,30,NA,"nar_mangrove",0.028050491,"Mangrove"
"TZA",0,996.67,996.67,0,28.92,28.92,"Tanzania, United Republic of","TZ",834,"ISO 3166-2:TZ","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_marsh",0,"Marsh"
"TZA",0,996.67,996.67,0,28.92,28.92,"Tanzania, United Republic of","TZ",834,"ISO 3166-2:TZ","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_mangrove",1.352033661,"Mangrove"
"URY",24.88,0,24.88,8,0,8,"Uruguay","UY",858,"ISO 3166-2:UY","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_marsh",0.535475,"Marsh"
"URY",24.88,0,24.88,8,0,8,"Uruguay","UY",858,"ISO 3166-2:UY","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_mangrove",0,"Mangrove"
"USA",19940.71,2376.77,22317.48,3744.31,366.71,4112.09,"United States of America","US",840,"ISO 3166-2:US","Americas","Northern America","N & C America","Northern America","",19,21,NA,"nar_marsh",250.623159,"Marsh"
"USA",19940.71,2376.77,22317.48,3744.31,366.71,4112.09,"United States of America","US",840,"ISO 3166-2:US","Americas","Northern America","N & C America","Northern America","",19,21,NA,"nar_mangrove",17.14399252,"Mangrove"
"VCT",0,0.47,0.47,0,0.07,0.07,"Saint Vincent and the Grenadines","VC",670,"ISO 3166-2:VC","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"VCT",0,0.47,0.47,0,0.07,0.07,"Saint Vincent and the Grenadines","VC",670,"ISO 3166-2:VC","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.003272557,"Mangrove"
"VEN",0,3348.04,3348.04,0,805.14,805.3,"Venezuela (Bolivarian Republic of)","VE",862,"ISO 3166-2:VE","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_marsh",0,"Marsh"
"VEN",0,3348.04,3348.04,0,805.14,805.3,"Venezuela (Bolivarian Republic of)","VE",862,"ISO 3166-2:VE","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_mangrove",37.64095372,"Mangrove"
"VGB",0,0.78,0.78,0,0.1,0.1,"Virgin Islands (British)","VG",92,"ISO 3166-2:VG","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"VGB",0,0.78,0.78,0,0.1,0.1,"Virgin Islands (British)","VG",92,"ISO 3166-2:VG","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.004675082,"Mangrove"
"VIR",1.27,1.86,3.13,0.16,0.23,0.39,"Virgin Islands (U.S.)","VI",850,"ISO 3166-2:VI","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0.01071,"Marsh"
"VIR",1.27,1.86,3.13,0.16,0.23,0.39,"Virgin Islands (U.S.)","VI",850,"ISO 3166-2:VI","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.010752688,"Mangrove"
"VNM",0.05,2164.09,2164.13,0,543.76,543.98,"Viet Nam","VN",704,"ISO 3166-2:VN","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_marsh",0,"Marsh"
"VNM",0.05,2164.09,2164.13,0,543.76,543.98,"Viet Nam","VN",704,"ISO 3166-2:VN","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_mangrove",25.42122487,"Mangrove"
"VUT",0,13.65,13.65,0,0.95,0.95,"Vanuatu","VU",548,"ISO 3166-2:VU","Oceania","Oceania","Oceania","Melanesia","",9,54,NA,"nar_marsh",0,"Marsh"
"VUT",0,13.65,13.65,0,0.95,0.95,"Vanuatu","VU",548,"ISO 3166-2:VU","Oceania","Oceania","Oceania","Melanesia","",9,54,NA,"nar_mangrove",0.044413277,"Mangrove"
"WLF",0,0.14,0.14,0,0.02,0.02,"Wallis and Futuna","WF",876,"ISO 3166-2:WF","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_marsh",0,"Marsh"
"WLF",0,0.14,0.14,0,0.02,0.02,"Wallis and Futuna","WF",876,"ISO 3166-2:WF","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_mangrove",0.000935016,"Mangrove"
"WSM",0,3.77,3.77,0,0.45,0.45,"Samoa","WS",882,"ISO 3166-2:WS","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_marsh",0,"Marsh"
"WSM",0,3.77,3.77,0,0.45,0.45,"Samoa","WS",882,"ISO 3166-2:WS","Oceania","Oceania","Oceania","Polynesia","",9,61,NA,"nar_mangrove",0.021037868,"Mangrove"
"YEM",0,10.28,10.28,0,0.21,0.21,"Yemen","YE",887,"ISO 3166-2:YE","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_marsh",0,"Marsh"
"YEM",0,10.28,10.28,0,0.21,0.21,"Yemen","YE",887,"ISO 3166-2:YE","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_mangrove",0.009817672,"Mangrove"
"ZAF",61.47,17.48,78.96,12.08,0.51,12.59,"South Africa","ZA",710,"ISO 3166-2:ZA","Africa","Africa","Africa","Sub-Saharan Africa","Southern Africa",2,202,18,"nar_marsh",0.808568,"Marsh"
"ZAF",61.47,17.48,78.96,12.08,0.51,12.59,"South Africa","ZA",710,"ISO 3166-2:ZA","Africa","Africa","Africa","Sub-Saharan Africa","Southern Africa",2,202,18,"nar_mangrove",0.023842917,"Mangrove"
