"alpha.3","area_tidal_marsh_km2","area_mangrove_km2","area_total_km2","car_marsh","car_mangrove","car_total_ggy","name","alpha.2","country.code","iso_3166.2","region","supercontinent","continent","sub.region","intermediate.region","region.code","sub.region.code","intermediate.region.code","category","value","habitat"
"BMU",0,0.1,0.1,0,0.02,0.02,"Bermuda","BM",60,"ISO 3166-2:BM","Americas","Northern America","N & C America","Northern America","",19,21,NA,"nar_marsh",0,"Marsh"
"BMU",0,0.1,0.1,0,0.02,0.02,"Bermuda","BM",60,"ISO 3166-2:BM","Americas","Northern America","N & C America","Northern America","",19,21,NA,"nar_mangrove",0.000935016,"Mangrove"
"BRA",929.87,10656.81,11586.68,299.04,2965.7,3264.86,"Brazil","BR",76,"ISO 3166-2:BR","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_marsh",20.016064,"Marsh"
"BRA",929.87,10656.81,11586.68,299.04,2965.7,3264.86,"Brazil","BR",76,"ISO 3166-2:BR","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_mangrove",138.6489014,"Mangrove"
"BRB",0,0.35,0.35,0,0.05,0.05,"Barbados","BB",52,"ISO 3166-2:BB","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"BRB",0,0.35,0.35,0,0.05,0.05,"Barbados","BB",52,"ISO 3166-2:BB","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.002337541,"Mangrove"
"BRN",0,123.17,123.17,0,65.05,65.05,"Brunei Darussalam","BN",96,"ISO 3166-2:BN","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_marsh",0,"Marsh"
"BRN",0,123.17,123.17,0,65.05,65.05,"Brunei Darussalam","BN",96,"ISO 3166-2:BN","Asia","Asia","Asia","South-eastern Asia","",142,35,NA,"nar_mangrove",3.04114072,"Mangrove"
"CAN",1927.28,0,1927.28,311.18,0,311.18,"Canada","CA",124,"ISO 3166-2:CA","Americas","Northern America","N & C America","Northern America","",19,21,NA,"nar_marsh",20.828648,"Marsh"
"CAN",1927.28,0,1927.28,311.18,0,311.18,"Canada","CA",124,"ISO 3166-2:CA","Americas","Northern America","N & C America","Northern America","",19,21,NA,"nar_mangrove",0,"Mangrove"
"CHL",9.24,0,9.24,2.97,0,2.97,"Chile","CL",152,"ISO 3166-2:CL","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_marsh",0.198795,"Marsh"
"CHL",9.24,0,9.24,2.97,0,2.97,"Chile","CL",152,"ISO 3166-2:CL","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_mangrove",0,"Mangrove"
"CHN",5448.75,171.86,5620.6,1190.09,47.61,1238.59,"China","CN",156,"ISO 3166-2:CN","Asia","Asia","Asia","Eastern Asia","",142,30,NA,"nar_marsh",79.657965,"Marsh"
"CHN",5448.75,171.86,5620.6,1190.09,47.61,1238.59,"China","CN",156,"ISO 3166-2:CN","Asia","Asia","Asia","Eastern Asia","",142,30,NA,"nar_mangrove",2.225806452,"Mangrove"
"CIV",0,43.14,43.14,0,11.8,11.8,"Côte d'Ivoire","CI",384,"ISO 3166-2:CI","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"CIV",0,43.14,43.14,0,11.8,11.8,"Côte d'Ivoire","CI",384,"ISO 3166-2:CI","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",0.551659654,"Mangrove"
"CMR",0,2229.17,2229.17,0,211.72,212.08,"Cameroon","CM",120,"ISO 3166-2:CM","Africa","Africa","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"nar_marsh",0,"Marsh"
"CMR",0,2229.17,2229.17,0,211.72,212.08,"Cameroon","CM",120,"ISO 3166-2:CM","Africa","Africa","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"nar_mangrove",9.898083216,"Mangrove"
"COD",0,218.87,218.87,0,23.81,23.81,"Congo, Democratic Republic of the","CD",180,"ISO 3166-2:CD","Africa","Africa","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"nar_marsh",0,"Marsh"
"COD",0,218.87,218.87,0,23.81,23.81,"Congo, Democratic Republic of the","CD",180,"ISO 3166-2:CD","Africa","Africa","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"nar_mangrove",1.11313698,"Mangrove"
"COL",0,2127.82,2127.82,0,628.88,628.47,"Colombia","CO",170,"ISO 3166-2:CO","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_marsh",0,"Marsh"
"COL",0,2127.82,2127.82,0,628.88,628.47,"Colombia","CO",170,"ISO 3166-2:CO","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_mangrove",29.40065451,"Mangrove"
"COM",0,1.09,1.09,0,0.21,0.21,"Comoros","KM",174,"ISO 3166-2:KM","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_marsh",0,"Marsh"
"COM",0,1.09,1.09,0,0.21,0.21,"Comoros","KM",174,"ISO 3166-2:KM","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_mangrove",0.009817672,"Mangrove"
"CRI",0,390.35,390.35,0,89.23,89.23,"Costa Rica","CR",188,"ISO 3166-2:CR","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_marsh",0,"Marsh"
"CRI",0,390.35,390.35,0,89.23,89.23,"Costa Rica","CR",188,"ISO 3166-2:CR","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_mangrove",4.171575503,"Mangrove"
"CUB",0,4466.2,4466.2,0,708.02,708.21,"Cuba","CU",192,"ISO 3166-2:CU","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"CUB",0,4466.2,4466.2,0,708.02,708.21,"Cuba","CU",192,"ISO 3166-2:CU","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",33.10051426,"Mangrove"
"CUW",0,0.77,0.77,0,0.1,0.1,"Curaçao","CW",531,"ISO 3166-2:CW","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"CUW",0,0.77,0.77,0,0.1,0.1,"Curaçao","CW",531,"ISO 3166-2:CW","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.004675082,"Mangrove"
"CYM",0,75.87,75.87,0,18.73,18.73,"Cayman Islands","KY",136,"ISO 3166-2:KY","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"CYM",0,75.87,75.87,0,18.73,18.73,"Cayman Islands","KY",136,"ISO 3166-2:KY","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.875642824,"Mangrove"
"CYP",19.61,0,19.61,0.19,0,0.19,"Cyprus","CY",196,"ISO 3166-2:CY","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_marsh",0.012718,"Marsh"
"CYP",19.61,0,19.61,0.19,0,0.19,"Cyprus","CY",196,"ISO 3166-2:CY","Asia","Asia","Asia","Western Asia","",142,145,NA,"nar_mangrove",0,"Mangrove"
"DEU",197.04,0,197.04,67.53,0,67.53,"Germany","DE",276,"ISO 3166-2:DE","Europe","Europe","Europe","Western Europe","",150,155,NA,"nar_marsh",4.52008,"Marsh"
"DEU",197.04,0,197.04,67.53,0,67.53,"Germany","DE",276,"ISO 3166-2:DE","Europe","Europe","Europe","Western Europe","",150,155,NA,"nar_mangrove",0,"Mangrove"
"DJI",0,5.51,5.51,0,0.11,0.11,"Djibouti","DJ",262,"ISO 3166-2:DJ","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_marsh",0,"Marsh"
"DJI",0,5.51,5.51,0,0.11,0.11,"Djibouti","DJ",262,"ISO 3166-2:DJ","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_mangrove",0.00514259,"Mangrove"
"DNK",303.63,0,303.63,92.54,0,92.54,"Denmark","DK",208,"ISO 3166-2:DK","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_marsh",6.19411,"Marsh"
"DNK",303.63,0,303.63,92.54,0,92.54,"Denmark","DK",208,"ISO 3166-2:DK","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_mangrove",0,"Mangrove"
"DOM",0,180.5,180.5,0,22.57,22.57,"Dominican Republic","DO",214,"ISO 3166-2:DO","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"DOM",0,180.5,180.5,0,22.57,22.57,"Dominican Republic","DO",214,"ISO 3166-2:DO","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",1.055165965,"Mangrove"
"ECU",9.36,1396.9,1406.25,2.98,442.12,445.33,"Ecuador","EC",218,"ISO 3166-2:EC","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_marsh",0.199465,"Marsh"
"ECU",9.36,1396.9,1406.25,2.98,442.12,445.33,"Ecuador","EC",218,"ISO 3166-2:EC","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_mangrove",20.66947172,"Mangrove"
"EGY",0,0.34,0.34,0,0,0,"Egypt","EG",818,"ISO 3166-2:EG","Africa","Africa","Africa","Northern Africa","",2,15,NA,"nar_marsh",0,"Marsh"
"EGY",0,0.34,0.34,0,0,0,"Egypt","EG",818,"ISO 3166-2:EG","Africa","Africa","Africa","Northern Africa","",2,15,NA,"nar_mangrove",0,"Mangrove"
"ERI",0,49.7,49.7,0,0.95,0.95,"Eritrea","ER",232,"ISO 3166-2:ER","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_marsh",0,"Marsh"
"ERI",0,49.7,49.7,0,0.95,0.95,"Eritrea","ER",232,"ISO 3166-2:ER","Africa","Africa","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"nar_mangrove",0.044413277,"Mangrove"
"ESP",883.78,0,883.78,117.64,0,117.64,"Spain","ES",724,"ISO 3166-2:ES","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_marsh",7.874163,"Marsh"
"ESP",883.78,0,883.78,117.64,0,117.64,"Spain","ES",724,"ISO 3166-2:ES","Europe","Europe","Europe","Southern Europe","",150,39,NA,"nar_mangrove",0,"Mangrove"
"EST",3.89,0,3.89,1.25,0,1.25,"Estonia","EE",233,"ISO 3166-2:EE","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_marsh",0.083668,"Marsh"
"EST",3.89,0,3.89,1.25,0,1.25,"Estonia","EE",233,"ISO 3166-2:EE","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_mangrove",0,"Mangrove"
"FIN",131.93,0,131.93,42.29,0,42.29,"Finland","FI",246,"ISO 3166-2:FI","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_marsh",2.830656,"Marsh"
"FIN",131.93,0,131.93,42.29,0,42.29,"Finland","FI",246,"ISO 3166-2:FI","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_mangrove",0,"Mangrove"
"FJI",0,1102.36,1102.36,0,62.54,62.54,"Fiji","FJ",242,"ISO 3166-2:FJ","Oceania","Oceania","Oceania","Melanesia","",9,54,NA,"nar_marsh",0,"Marsh"
"FJI",0,1102.36,1102.36,0,62.54,62.54,"Fiji","FJ",242,"ISO 3166-2:FJ","Oceania","Oceania","Oceania","Melanesia","",9,54,NA,"nar_mangrove",2.923796166,"Mangrove"
"FRA",800.8,0,800.8,120.99,0,120.99,"France","FR",250,"ISO 3166-2:FR","Europe","Europe","Europe","Western Europe","",150,155,NA,"nar_marsh",8.098394,"Marsh"
"FRA",800.8,0,800.8,120.99,0,120.99,"France","FR",250,"ISO 3166-2:FR","Europe","Europe","Europe","Western Europe","",150,155,NA,"nar_mangrove",0,"Mangrove"
"FSM",0,88.21,88.21,0,24.31,24.31,"Micronesia (Federated States of)","FM",583,"ISO 3166-2:FM","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_marsh",0,"Marsh"
"FSM",0,88.21,88.21,0,24.31,24.31,"Micronesia (Federated States of)","FM",583,"ISO 3166-2:FM","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_mangrove",1.136512389,"Mangrove"
"GAB",480,1589.25,2069.25,50.59,166.82,217.41,"Gabon","GA",266,"ISO 3166-2:GA","Africa","Africa","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"nar_marsh",3.386212,"Marsh"
"GAB",480,1589.25,2069.25,50.59,166.82,217.41,"Gabon","GA",266,"ISO 3166-2:GA","Africa","Africa","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"nar_mangrove",7.798971482,"Mangrove"
"GBR",572.33,0,572.33,73.5,0,73.5,"United Kingdom of Great Britain and Northern Ireland","GB",826,"ISO 3166-2:GB","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_marsh",4.919679,"Marsh"
"GBR",572.33,0,572.33,73.5,0,73.5,"United Kingdom of Great Britain and Northern Ireland","GB",826,"ISO 3166-2:GB","Europe","Europe","Europe","Northern Europe","",150,154,NA,"nar_mangrove",0,"Mangrove"
"GHA",0,114.03,114.03,0,24.66,24.66,"Ghana","GH",288,"ISO 3166-2:GH","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"GHA",0,114.03,114.03,0,24.66,24.66,"Ghana","GH",288,"ISO 3166-2:GH","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",1.152875175,"Mangrove"
"GIN",0,2382.31,2382.31,0,651.61,651.61,"Guinea","GN",324,"ISO 3166-2:GN","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"GIN",0,2382.31,2382.31,0,651.61,651.61,"Guinea","GN",324,"ISO 3166-2:GN","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",30.46330061,"Mangrove"
"GLP",0,30.14,30.14,0,3.77,3.77,"Guadeloupe","GP",312,"ISO 3166-2:GP","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"GLP",0,30.14,30.14,0,3.77,3.77,"Guadeloupe","GP",312,"ISO 3166-2:GP","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.176250584,"Mangrove"
"GMB",0,712.38,712.38,0,194.85,194.85,"Gambia","GM",270,"ISO 3166-2:GM","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"GMB",0,712.38,712.38,0,194.85,194.85,"Gambia","GM",270,"ISO 3166-2:GM","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",9.109396914,"Mangrove"
"GNB",0,2662.45,2662.45,0,728.23,728.85,"Guinea-Bissau","GW",624,"ISO 3166-2:GW","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_marsh",0,"Marsh"
"GNB",0,2662.45,2662.45,0,728.23,728.85,"Guinea-Bissau","GW",624,"ISO 3166-2:GW","Africa","Africa","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"nar_mangrove",34.04534829,"Mangrove"
"GNQ",0,232.57,232.57,0,24.38,24.38,"Equatorial Guinea","GQ",226,"ISO 3166-2:GQ","Africa","Africa","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"nar_marsh",0,"Marsh"
"GNQ",0,232.57,232.57,0,24.38,24.38,"Equatorial Guinea","GQ",226,"ISO 3166-2:GQ","Africa","Africa","Africa","Sub-Saharan Africa","Middle Africa",2,202,17,"nar_mangrove",1.139784946,"Mangrove"
"GRD",0,2.12,2.12,0,0.32,0.32,"Grenada","GD",308,"ISO 3166-2:GD","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_marsh",0,"Marsh"
"GRD",0,2.12,2.12,0,0.32,0.32,"Grenada","GD",308,"ISO 3166-2:GD","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Caribbean",19,419,29,"nar_mangrove",0.014960262,"Mangrove"
"GTM",0,350.69,350.69,0,41.62,41.62,"Guatemala","GT",320,"ISO 3166-2:GT","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_marsh",0,"Marsh"
"GTM",0,350.69,350.69,0,41.62,41.62,"Guatemala","GT",320,"ISO 3166-2:GT","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_mangrove",1.945769051,"Mangrove"
"GUF",0,885.1,885.1,0,252.67,252.3,"French Guiana","GF",254,"ISO 3166-2:GF","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_marsh",0,"Marsh"
"GUF",0,885.1,885.1,0,252.67,252.3,"French Guiana","GF",254,"ISO 3166-2:GF","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_mangrove",11.81252922,"Mangrove"
"GUM",0.08,0.32,0.4,0.02,0.09,0.11,"Guam","GU",316,"ISO 3166-2:GU","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_marsh",0.001339,"Marsh"
"GUM",0.08,0.32,0.4,0.02,0.09,0.11,"Guam","GU",316,"ISO 3166-2:GU","Oceania","Oceania","Oceania","Micronesia","",9,57,NA,"nar_mangrove",0.004207574,"Mangrove"
"GUY",0,235.25,235.25,0,58.72,58.72,"Guyana","GY",328,"ISO 3166-2:GY","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_marsh",0,"Marsh"
"GUY",0,235.25,235.25,0,58.72,58.72,"Guyana","GY",328,"ISO 3166-2:GY","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","South America",19,419,5,"nar_mangrove",2.745208041,"Mangrove"
"HKG",0.01,7.55,7.56,0,3.64,3.65,"Hong Kong","HK",344,"ISO 3166-2:HK","Asia","Asia","Asia","Eastern Asia","",142,30,NA,"nar_marsh",0,"Marsh"
"HKG",0.01,7.55,7.56,0,3.64,3.65,"Hong Kong","HK",344,"ISO 3166-2:HK","Asia","Asia","Asia","Eastern Asia","",142,30,NA,"nar_mangrove",0.170172978,"Mangrove"
"HND",0,676.91,676.91,0,117.2,117.21,"Honduras","HN",340,"ISO 3166-2:HN","Americas","Latin America and the Caribbean","N & C America","Latin America and the Caribbean","Central America",19,419,13,"nar_marsh",0,"Marsh"
