study_id,DOI,site_id,impact_class,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,U_depth_m_decompressed,L_depth_m_decompressed,OC_perc,N_perc,BD_reported_g_cm3,carbon_burial_rate,carbon_burial_rate_uncertainty,nitrogen_burial_rate,nitrogen_burial_rate_uncertainty
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.16,0.165,0.2838184999999999,0.29281199999999996,NA,NA,0.5885917458362081,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.165,0.17,0.29281199999999996,0.30180549999999995,7.798196185406045,0.3090050178897813,0.43556451647417754,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.17,0.175,0.30180549999999995,0.31079899999999994,NA,NA,0.534270392,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.175,0.18,0.31079899999999994,0.3197924999999999,6.881379158,0.29348953063500327,0.3732936958679834,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.18,0.185,0.3197924999999999,0.32878599999999997,NA,NA,0.5097595367709197,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.185,0.19,0.32878599999999997,0.33777949999999995,3.898922443446981,0.18374425674018208,0.5481819579960182,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.19,0.195,0.33777949999999995,0.34677299999999994,NA,NA,0.5296332029218327,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.195,0.2,0.34677299999999994,0.35576649999999993,4.521436542698765,0.23278114995711344,0.7005467318196849,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.2,0.21,0.35576649999999993,0.3708005,6.358491740024062,0.2881148891273025,0.3832318538545166,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.21,0.22,0.3708005,0.3888414999999999,7.098440649729362,0.3424724171506132,0.2629961736414927,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.22,0.23,0.3888414999999999,0.4068825,9.022255536,0.39236809819454393,0.30456393376274243,75,6,3.4,0.3
Arias-Ortiz_et_al_2021madagascar,https://doi.org/10.1007/s10021-020-00500-z,Tsimipaika_Bay_undisturbed,undisturbed,Cc_18,low dry bulk density soils,"Sonneratia alba, riverine",mangrove,2016,-13.53214923,48.47598453,0.23,0.24,0.4068825,0.4249235,8.806787026090158,0.32562960882828024,0.38571473721230404,75,6,3.4,0.3
