study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,10,,Deltaic mangrove,mangrove,2015,-7.798374,39.319382,0.3,0.45,1.19,0.11,,0.74,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,10,,Deltaic mangrove,mangrove,2015,-7.798374,39.319382,0.45,1.1,1.27,0.1,,0.77,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,10,,Deltaic mangrove,mangrove,2015,-7.798374,39.319382,1.1,1.85,1.1,0.07,,0.85,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,10,,Deltaic mangrove,mangrove,2015,-7.798374,39.319382,1.85,2,0.73,0.06,,0.89,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,11,,Deltaic mangrove,mangrove,2015,-7.810767,39.316144,0,0.15,1.57,0.14,,0.74,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,11,,Deltaic mangrove,mangrove,2015,-7.810767,39.316144,0.15,0.3,1.4,0.12,,0.79,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,11,,Deltaic mangrove,mangrove,2015,-7.810767,39.316144,0.3,0.45,1.14,0.09,,0.77,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,11,,Deltaic mangrove,mangrove,2015,-7.810767,39.316144,0.45,1.1,2.57,0.11,,0.64,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,11,,Deltaic mangrove,mangrove,2015,-7.810767,39.316144,1.1,1.85,1.78,0.06,,0.8,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,11,,Deltaic mangrove,mangrove,2015,-7.810767,39.316144,1.85,2,1.04,0.06,,0.93,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,12,,Deltaic mangrove,mangrove,2015,-7.838769,39.243489,0,0.15,2.18,0.14,,0.8,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,12,,Deltaic mangrove,mangrove,2015,-7.838769,39.243489,0.15,0.3,2.13,0.13,,0.81,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,12,,Deltaic mangrove,mangrove,2015,-7.838769,39.243489,0.3,0.45,2.6,0.15,,0.88,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,12,,Deltaic mangrove,mangrove,2015,-7.838769,39.243489,0.45,1.1,2.54,0.14,,0.88,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,12,,Deltaic mangrove,mangrove,2015,-7.838769,39.243489,1.1,1.85,1.79,0.1,,0.77,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,12,,Deltaic mangrove,mangrove,2015,-7.838769,39.243489,1.85,2,1.86,0.1,,0.79,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,13,,Deltaic mangrove,mangrove,2015,-7.762685,39.298524,0,0.15,2,0.17,,0.56,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,13,,Deltaic mangrove,mangrove,2015,-7.762685,39.298524,0.15,0.3,1.84,0.15,,0.46,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,13,,Deltaic mangrove,mangrove,2015,-7.762685,39.298524,0.3,0.45,1.76,0.14,,0.64,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,13,,Deltaic mangrove,mangrove,2015,-7.762685,39.298524,0.45,1.1,1.65,0.12,,0.7,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,13,,Deltaic mangrove,mangrove,2015,-7.762685,39.298524,1.1,1.85,2.38,0.11,,0.58,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,13,,Deltaic mangrove,mangrove,2015,-7.762685,39.298524,1.85,2,1.43,0.08,,0.75,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,14,,Deltaic mangrove,mangrove,2015,-7.787997,39.300607,0,0.15,1.72,0.15,,0.66,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,14,,Deltaic mangrove,mangrove,2015,-7.787997,39.300607,0.15,0.3,1.34,0.13,,0.76,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,14,,Deltaic mangrove,mangrove,2015,-7.787997,39.300607,0.3,0.45,1.38,0.12,,0.78,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,14,,Deltaic mangrove,mangrove,2015,-7.787997,39.300607,0.45,1.1,1.31,0.11,,0.66,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,14,,Deltaic mangrove,mangrove,2015,-7.787997,39.300607,1.1,1.85,1.87,0.12,,0.74,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,14,,Deltaic mangrove,mangrove,2015,-7.787997,39.300607,1.85,2,3.88,0.16,,0.91,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,15,,Deltaic mangrove,mangrove,2015,-7.790868,39.369734,0,0.15,1.35,0.1,,0.6,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,15,,Deltaic mangrove,mangrove,2015,-7.790868,39.369734,0.15,0.3,2.42,0.15,,0.81,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,15,,Deltaic mangrove,mangrove,2015,-7.790868,39.369734,0.3,0.45,2.37,0.13,,0.75,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,15,,Deltaic mangrove,mangrove,2015,-7.790868,39.369734,0.45,1.1,3.01,0.13,,0.93,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,15,,Deltaic mangrove,mangrove,2015,-7.790868,39.369734,1.1,1.85,2.85,0.11,,0.71,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,15,,Deltaic mangrove,mangrove,2015,-7.790868,39.369734,1.85,2,3.16,0.12,,0.82,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,16,,Deltaic mangrove,mangrove,2015,-7.799883,39.300607,0,0.15,2.71,0.12,,0.81,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,16,,Deltaic mangrove,mangrove,2015,-7.799883,39.300607,0.15,0.3,2.02,0.16,,0.85,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,16,,Deltaic mangrove,mangrove,2015,-7.799883,39.300607,0.3,0.45,1.57,0.14,,0.75,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,16,,Deltaic mangrove,mangrove,2015,-7.799883,39.300607,0.45,1.1,1.45,0.13,,0.75,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,16,,Deltaic mangrove,mangrove,2015,-7.799883,39.300607,1.1,1.85,1.58,0.11,,1,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,16,,Deltaic mangrove,mangrove,2015,-7.799883,39.300607,1.85,2,2.55,0.12,,1.08,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,17,,Deltaic mangrove,mangrove,2015,-7.801661,39.295053,0,0.15,1.72,0.1,,0.64,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,17,,Deltaic mangrove,mangrove,2015,-7.801661,39.295053,0.15,0.3,2.22,0.18,,0.68,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,17,,Deltaic mangrove,mangrove,2015,-7.801661,39.295053,0.3,0.45,2.05,0.16,,0.7,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,17,,Deltaic mangrove,mangrove,2015,-7.801661,39.295053,0.45,1.1,2.13,0.16,,0.65,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,17,,Deltaic mangrove,mangrove,2015,-7.801661,39.295053,1.1,1.85,2.54,0.15,,0.66,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,17,,Deltaic mangrove,mangrove,2015,-7.801661,39.295053,1.85,2,3.57,0.18,,0.69,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,18,,Deltaic mangrove,mangrove,2015,-7.807884,39.31884,0,0.15,2.93,0.15,,1.3,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,18,,Deltaic mangrove,mangrove,2015,-7.807884,39.31884,0.15,0.3,1.56,0.09,,1.28,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,18,,Deltaic mangrove,mangrove,2015,-7.807884,39.31884,0.3,0.45,0.86,0.05,,1.36,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,18,,Deltaic mangrove,mangrove,2015,-7.807884,39.31884,0.45,1.1,0.68,0.05,,1.48,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,18,,Deltaic mangrove,mangrove,2015,-7.807884,39.31884,1.1,1.85,0.84,0.05,,,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,18,,Deltaic mangrove,mangrove,2015,-7.807884,39.31884,1.85,2,0.94,0.04,,,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,19,,Deltaic mangrove,mangrove,2015,-7.770334,39.318936,0,0.15,2.66,0.16,,0.66,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,19,,Deltaic mangrove,mangrove,2015,-7.770334,39.318936,0.15,0.3,2.27,0.14,,0.65,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,19,,Deltaic mangrove,mangrove,2015,-7.770334,39.318936,0.3,0.45,2.08,0.12,,0.75,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,19,,Deltaic mangrove,mangrove,2015,-7.770334,39.318936,0.45,1.1,3.37,0.15,,0.66,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,19,,Deltaic mangrove,mangrove,2015,-7.770334,39.318936,1.1,1.85,3.78,0.12,,0.57,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,19,,Deltaic mangrove,mangrove,2015,-7.770334,39.318936,1.85,2,2,0.07,,1,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,20,,Deltaic mangrove,mangrove,2015,-7.813454,39.334681,0,0.15,3.6,0.18,,0.67,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,20,,Deltaic mangrove,mangrove,2015,-7.813454,39.334681,0.15,0.3,3.5,0.13,,0.77,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,20,,Deltaic mangrove,mangrove,2015,-7.813454,39.334681,0.3,0.45,2.97,0.1,,0.95,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,20,,Deltaic mangrove,mangrove,2015,-7.813454,39.334681,0.45,1.1,2.54,0.09,,0.99,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,20,,Deltaic mangrove,mangrove,2015,-7.813454,39.334681,1.1,1.85,1.33,0.07,,1.08,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,20,,Deltaic mangrove,mangrove,2015,-7.813454,39.334681,1.85,2,1.04,0.06,,1.02,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,21,,Deltaic mangrove,mangrove,2015,-7.828303,39.322083,0,0.15,2.64,0.16,,0.75,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,21,,Deltaic mangrove,mangrove,2015,-7.828303,39.322083,0.15,0.3,3.17,0.14,,0.73,
Trettin et al. 2020,https://doi.org/10.17528/CIFOR/DATA.00221,Ruffiji,21,,Deltaic mangrove,mangrove,2015,-7.828303,39.322083,0.3,0.45,3.98,0.16,,0.73,
